Protein_ID	Swiss-Prot_Hit	SP_E-value	Swiss-Prot_Description	Trembl_Hit	TB_E-value	Trembl_Description	NCBI_hit	nr_E-value	NCBI_Description	GO_Swiss-Prot	GO_Trembl
evm.model.Ap2.1507	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
evm.model.Ap2.1504	sp|P25021|HRH2_HUMAN	1.4e-25	Histamine H2 receptor OS=Homo sapiens GN=HRH2 PE=2 SV=1	tr|A7RZL8|A7RZL8_NEMVE	1.78e-79	Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g1683 PE=3 SV=1	ref|XP_020623805.1|	1.07e-152	dopamine D2-like receptor [Orbicella faveolata]	GO:0005887; GO:0005886; GO:0004969; GO:0048565; GO:0003382; GO:0007186; GO:0007187; GO:0001698; GO:0048732; GO:0001697; GO:0006955; GO:0007613; GO:0045907; GO:0048167; GO:1901998; GO:0008542	GO:0016021; GO:0004930
evm.model.Ap2.1505	sp|P47800|DRD1L_OREMO	8.77e-36	D(1)-like dopamine receptor OS=Oreochromis mossambicus PE=2 SV=1	tr|A7RZL8|A7RZL8_NEMVE	1.17e-98	Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g1683 PE=3 SV=1	ref|XP_020623805.1|	0	dopamine D2-like receptor [Orbicella faveolata]	GO:0005887; GO:0004952	GO:0016021; GO:0004930
evm.model.Ap2.591	NA	NA	NA	tr|A0A2B4SDN3|A0A2B4SDN3_STYPI	0	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene8401 PE=4 SV=1	gb|KXJ08292.1|	0	hypothetical protein AC249_AIPGENE6836 [Exaiptasia pallida]	NA	
evm.model.Ap2.590	NA	NA	NA	tr|A0A2B4SL18|A0A2B4SL18_STYPI	3.37e-85	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene5981 PE=4 SV=1	gb|KXJ09029.1|	1.13e-89	ATP-dependent DNA helicase PIF1 [Exaiptasia pallida]	NA	
evm.model.Ap2.593	sp|Q9Z2J0|S23A1_MOUSE	0	Solute carrier family 23 member 1 OS=Mus musculus GN=Slc23a1 PE=1 SV=2	tr|A0A2B4SBP3|A0A2B4SBP3_STYPI	0	Solute carrier family 23 member 2 OS=Stylophora pistillata GN=slc23a2 PE=4 SV=1	ref|XP_020617414.1|	0	solute carrier family 23 member 2-like isoform X1 [Orbicella faveolata]	GO:0016324; GO:0009925; GO:0005737; GO:0016021; GO:0043229; GO:0005886; GO:0033300; GO:0008520; GO:0015229; GO:0015081; GO:0070890; GO:0007420; GO:0070837; GO:0015882; GO:0030324; GO:0009636; GO:0006814; GO:0070904	GO:0016021; GO:0022857
evm.model.Ap2.592	sp|O35474|EDIL3_MOUSE	1.54e-31	EGF-like repeat and discoidin I-like domain-containing protein 3 OS=Mus musculus GN=Edil3 PE=1 SV=2	tr|A0A2B4SQA9|A0A2B4SQA9_STYPI	0	Meprin A subunit beta OS=Stylophora pistillata GN=Mep1b PE=4 SV=1	ref|XP_020909800.1|	0	uncharacterized protein LOC110247682 [Exaiptasia pallida]	GO:0031012; GO:0005509; GO:0005178; GO:0007155; GO:0007275; GO:0010811	GO:0016020; GO:0004222; GO:0008270
evm.model.Ap2.595	sp|O35764|NPTXR_RAT	2.55e-13	Neuronal pentraxin receptor OS=Rattus norvegicus GN=Nptxr PE=1 SV=1	tr|A0A2B4RZL5|A0A2B4RZL5_STYPI	6.58e-13	CUB and sushi domain-containing protein 3 OS=Stylophora pistillata GN=CSMD3 PE=4 SV=1	ref|XP_020607073.1|	0	uncharacterized protein LOC110045784 [Orbicella faveolata]	GO:0005615; GO:0016021; GO:0005886; GO:0046872; GO:0008029; GO:0032403; GO:0019903; GO:0031175; GO:0042542	GO:0003873; GO:0005524; GO:0006000
evm.model.Ap2.594	NA	NA	NA	tr|A0A2B4RBN9|A0A2B4RBN9_STYPI	5.96e-118	Putative RNA-directed DNA polymerase from transposon X-element OS=Stylophora pistillata GN=AWC38_SpisGene20728 PE=4 SV=1	gb|KXJ08475.1|	3.52e-125	hypothetical protein AC249_AIPGENE9508 [Exaiptasia pallida]	NA	GO:0003964
evm.model.Ap2.597	sp|Q4LDE5|SVEP1_HUMAN	6.13e-26	Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Homo sapiens GN=SVEP1 PE=1 SV=3	tr|A0A2B4RCG6|A0A2B4RCG6_STYPI	1.3e-34	Neuronal pentraxin-1 OS=Stylophora pistillata GN=NPTX1 PE=4 SV=1	ref|XP_020606897.1|	2.88e-48	neuronal pentraxin-1-like [Orbicella faveolata]	GO:0005737; GO:0005615; GO:0016020; GO:0005509; GO:0003682; GO:0007155	
evm.model.Ap2.596	NA	NA	NA	tr|A0A2B4RD16|A0A2B4RD16_STYPI	4.71e-11	Potassium voltage-gated channel subfamily G member 3 OS=Stylophora pistillata GN=Kcng3 PE=4 SV=1	ref|XP_020607080.1|	5.83e-17	C-reactive protein 1.1-like [Orbicella faveolata]	NA	GO:0016021
evm.model.Ap2.599	NA	NA	NA	tr|A0A2B4RD16|A0A2B4RD16_STYPI	9.94e-10	Potassium voltage-gated channel subfamily G member 3 OS=Stylophora pistillata GN=Kcng3 PE=4 SV=1	ref|XP_020607080.1|	1.74e-14	C-reactive protein 1.1-like [Orbicella faveolata]	NA	GO:0016021
evm.model.Ap2.598	NA	NA	NA	tr|A0A026W9L3|A0A026W9L3_OOCBI	1.12e-12	Uncharacterized protein OS=Ooceraea biroi GN=X777_07116 PE=4 SV=1	gb|KXJ09429.1|	5.34e-11	hypothetical protein AC249_AIPGENE16797 [Exaiptasia pallida]	NA	
evm.model.Ap2.1438	sp|Q5TFE4|NT5D1_HUMAN	5.68e-88	5'-nucleotidase domain-containing protein 1 OS=Homo sapiens GN=NT5DC1 PE=1 SV=1	tr|A0A2B4SLQ8|A0A2B4SLQ8_STYPI	0	5'-nucleotidase domain-containing protein 1 OS=Stylophora pistillata GN=NT5DC1 PE=4 SV=1	ref|XP_022783741.1|	0	5'-nucleotidase domain-containing protein 1-like [Stylophora pistillata]	GO:0008253; GO:0046872	
evm.model.Ap2.1439	sp|Q9BZ23|PANK2_HUMAN	9.55e-110	Pantothenate kinase 2, mitochondrial OS=Homo sapiens GN=PANK2 PE=1 SV=3	tr|A0A2B4SL30|A0A2B4SL30_STYPI	8.57e-162	Pantothenate kinase 3 OS=Stylophora pistillata GN=PANK3 PE=4 SV=1	gb|PFX29819.1|	1.33e-161	pantothenate kinase 3-like isoform X2 [Stylophora pistillata]	GO:0005829; GO:0005758; GO:0005739; GO:0005524; GO:0004594; GO:0009060; GO:0015937; GO:0009108; GO:0070584; GO:0015939; GO:0016310; GO:1904251; GO:0019217; GO:0051881; GO:0090207; GO:0007286	GO:0005524; GO:0004594; GO:0015937
evm.model.Ap2.1436	sp|Q8K078|SO4A1_MOUSE	3.58e-139	Solute carrier organic anion transporter family member 4A1 OS=Mus musculus GN=Slco4a1 PE=1 SV=2	tr|A0A2B4SMT7|A0A2B4SMT7_STYPI	0	Solute carrier organic anion transporter family member 4A1 OS=Stylophora pistillata GN=Slco4a1 PE=4 SV=1	ref|XP_020623820.1|	0	solute carrier organic anion transporter family member 4A1-like [Orbicella faveolata]	GO:0005887; GO:0008514; GO:0015347; GO:0015349; GO:0015711; GO:0043252; GO:0070327	GO:0016021; GO:0005886; GO:0005215; GO:0006811; GO:0055085
evm.model.Ap2.1437	sp|Q8BGP5|TM127_MOUSE	6.08e-32	Transmembrane protein 127 OS=Mus musculus GN=Tmem127 PE=2 SV=1	tr|A0A2B4SMS3|A0A2B4SMS3_STYPI	8.81e-120	Transmembrane protein 127 OS=Stylophora pistillata GN=TMEM127 PE=4 SV=1	ref|XP_020623822.1|	2.8e-132	transmembrane protein 127-like [Orbicella faveolata]	GO:0005737; GO:0005769; GO:0016021; GO:0005886; GO:0017137; GO:0007032; GO:0008285; GO:0032007; GO:0032006	GO:0016021; GO:0008285; GO:0032007
evm.model.Ap2.1434	sp|P14735|IDE_HUMAN	0	Insulin-degrading enzyme OS=Homo sapiens GN=IDE PE=1 SV=4	tr|A7SEX7|A7SEX7_NEMVE	0	Predicted protein OS=Nematostella vectensis GN=v1g230057 PE=3 SV=1	ref|XP_020623817.1|	0	insulin-degrading enzyme-like [Orbicella faveolata]	GO:0009986; GO:0005737; GO:0005829; GO:0031597; GO:0005615; GO:0005739; GO:0005634; GO:0005782; GO:0005777; GO:0005886; GO:0001540; GO:0005524; GO:0016887; GO:0031626; GO:0042802; GO:0043559; GO:0004222; GO:0042277; GO:0042803; GO:0005102; GO:0140036; GO:0001618; GO:0008270; GO:0097242; GO:0050435; GO:0010815; GO:0008340; GO:0042447; GO:1901143; GO:1901142; GO:0008286; GO:0045861; GO:0045732; GO:0032461; GO:0051291; GO:0051260; GO:0051289; GO:0006508; GO:0051603; GO:0010992	GO:0046872; GO:0004222
evm.model.Ap2.1435	sp|I7C6E8|C7A52_PANGI	4.1e-32	Beta-amyrin 28-oxidase OS=Panax ginseng PE=2 SV=1	tr|A0A2B4SKY5|A0A2B4SKY5_STYPI	0	Putative cytochrome P450 120 OS=Stylophora pistillata GN=cyp120 PE=4 SV=1	gb|PFX29769.1|	0	putative cytochrome P450 120 [Stylophora pistillata]	GO:0016021; GO:0020037; GO:0005506; GO:0004497; GO:0016705	GO:0020037; GO:0005506; GO:0004497; GO:0016705
evm.model.Ap2.1432	sp|Q6GQ68|PP3BB_XENLA	1.8e-31	Protein phosphatase 1 regulatory subunit 3B-B OS=Xenopus laevis GN=ppp1r3b-b PE=2 SV=1	tr|A7SEX9|A7SEX9_NEMVE	5.44e-51	Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g115865 PE=4 SV=1	ref|XP_020623779.1|	2.38e-150	protein phosphatase 1 regulatory subunit 3B-B-like [Orbicella faveolata]	GO:0000164; GO:0019888; GO:0005977; GO:0005981	
evm.model.Ap2.1433	sp|Q99LZ3|SLD5_MOUSE	4.08e-80	DNA replication complex GINS protein SLD5 OS=Mus musculus GN=Gins4 PE=1 SV=1	tr|A0A2B4SK78|A0A2B4SK78_STYPI	3.44e-132	DNA replication complex GINS protein SLD5 OS=Stylophora pistillata GN=Gins4 PE=4 SV=1	ref|XP_020623818.1|	9.3e-155	DNA replication complex GINS protein SLD5-like [Orbicella faveolata]	GO:0005737; GO:0000811; GO:0005634; GO:0031298; GO:0032508; GO:0006270; GO:0000727; GO:0001833	GO:0005634; GO:0006261
evm.model.Ap2.1430	sp|Q9QZU7|BODG_RAT	4.07e-77	Gamma-butyrobetaine dioxygenase OS=Rattus norvegicus GN=Bbox1 PE=1 SV=1	tr|A0A2B4S4G7|A0A2B4S4G7_STYPI	0	Gamma-butyrobetaine dioxygenase OS=Stylophora pistillata GN=BBOX1 PE=4 SV=1	ref|XP_020623728.1|	0	gamma-butyrobetaine dioxygenase-like [Orbicella faveolata]	GO:0070062; GO:0005739; GO:0008336; GO:0042802; GO:0005506; GO:0008270; GO:0045329	GO:0051213
evm.model.Ap2.1431	sp|Q5R939|F204A_PONAB	3.2e-13	Protein FAM204A OS=Pongo abelii GN=FAM204A PE=2 SV=1	tr|A0A2B4SKZ4|A0A2B4SKZ4_STYPI	3.55e-104	Protein FAM204A OS=Stylophora pistillata GN=Fam204a PE=4 SV=1	ref|XP_020623859.1|	3.57e-109	uncharacterized protein LOC110061352 [Orbicella faveolata]		
evm.model.Ap2.2161	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
evm.model.Ap2.2160	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
evm.model.Ap2.2163.1.5f15e0f8	sp|Q6NXD8|DEN5B_DANRE	0	DENN domain-containing protein 5B OS=Danio rerio GN=dennd5b PE=2 SV=2	tr|A0A2B4S5G6|A0A2B4S5G6_STYPI	0	DENN domain-containing protein 5B OS=Stylophora pistillata GN=Dennd5b PE=4 SV=1	ref|XP_022792211.1|	0	DENN domain-containing protein 5B-like [Stylophora pistillata]	GO:0016021; GO:0016020; GO:0005262; GO:0017112; GO:0050982	
evm.model.Ap2.2163	sp|Q6NXD8|DEN5B_DANRE	0	DENN domain-containing protein 5B OS=Danio rerio GN=dennd5b PE=2 SV=2	tr|A0A2B4S5G6|A0A2B4S5G6_STYPI	0	DENN domain-containing protein 5B OS=Stylophora pistillata GN=Dennd5b PE=4 SV=1	ref|XP_020606052.1|	0	DENN domain-containing protein 5B-like [Orbicella faveolata]	GO:0016021; GO:0016020; GO:0005262; GO:0017112; GO:0050982	
evm.model.Ap2.2162.1.5f15e0f6	sp|O75400|PR40A_HUMAN	8.65e-146	Pre-mRNA-processing factor 40 homolog A OS=Homo sapiens GN=PRPF40A PE=1 SV=2	tr|A0A2B4S6E6|A0A2B4S6E6_STYPI	0	Pre-mRNA-processing factor 40-like B OS=Stylophora pistillata GN=Prpf40b PE=4 SV=1	ref|XP_020606053.1|	0	pre-mRNA-processing factor 40 homolog A-like [Orbicella faveolata]	GO:0005829; GO:0016020; GO:0016363; GO:0016607; GO:0005654; GO:0005685; GO:0071004; GO:0070064; GO:0003723; GO:0007049; GO:0051301; GO:0016477; GO:0007010; GO:0000398; GO:0008360; GO:0032465	
evm.model.Ap2.2162	sp|Q9R1C7|PR40A_MOUSE	1.51e-145	Pre-mRNA-processing factor 40 homolog A OS=Mus musculus GN=Prpf40a PE=1 SV=1	tr|A0A2B4S6E6|A0A2B4S6E6_STYPI	0	Pre-mRNA-processing factor 40-like B OS=Stylophora pistillata GN=Prpf40b PE=4 SV=1	ref|XP_020606053.1|	0	pre-mRNA-processing factor 40 homolog A-like [Orbicella faveolata]	GO:0005829; GO:0016363; GO:0016607; GO:0005634; GO:0005685; GO:0071004; GO:0070064; GO:0003723; GO:0016477; GO:0007010; GO:0000398; GO:0008360; GO:0032465	
evm.model.Ap2.2165	sp|D3ZQG6|TRIM2_RAT	2.54e-65	Tripartite motif-containing protein 2 OS=Rattus norvegicus GN=Trim2 PE=1 SV=2	tr|A0A2B4RQH2|A0A2B4RQH2_STYPI	0	E3 ubiquitin-protein ligase TRIM71 OS=Stylophora pistillata GN=trim71 PE=4 SV=1	ref|XP_020606139.1|	0	tripartite motif-containing protein 2-like [Orbicella faveolata]	GO:0005737; GO:0061630; GO:0004842; GO:0008270; GO:1990830; GO:0043523	GO:0005622; GO:0016874; GO:0008270
evm.model.Ap2.2164	sp|P70115|ACTHR_MESAU	2.54e-10	Adrenocorticotropic hormone receptor OS=Mesocricetus auratus GN=MC2R PE=2 SV=1	tr|A0A2B4RJR8|A0A2B4RJR8_STYPI	1.93e-105	Eukaryotic translation initiation factor 3 subunit A OS=Stylophora pistillata GN=AWC38_SpisGene19114 PE=4 SV=1	ref|XP_020606055.1|	3.8e-169	beta-4C adrenergic receptor-like [Orbicella faveolata]	GO:0016021; GO:0005886; GO:0004978	GO:0016021; GO:0004930; GO:0003743
evm.model.Ap2.2167	sp|O08560|DGKZ_RAT	0	Diacylglycerol kinase zeta OS=Rattus norvegicus GN=Dgkz PE=1 SV=1	tr|A0A2B4S1R1|A0A2B4S1R1_STYPI	0	Diacylglycerol kinase zeta OS=Stylophora pistillata GN=Dgkz PE=4 SV=1	gb|PFX24624.1|	0	diacylglycerol kinase zeta-like [Stylophora pistillata]	GO:0005737; GO:0030027; GO:0016607; GO:0005634; GO:0005886; GO:0005524; GO:0004143; GO:0004857; GO:0016301; GO:0001727; GO:0046872; GO:0003951; GO:0008022; GO:0046339; GO:0046486; GO:0035556; GO:0046834; GO:0031571; GO:0045930; GO:0046580; GO:0007205	GO:0005622; GO:0005524; GO:0004143; GO:0003951; GO:0035556; GO:0007205
evm.model.Ap2.2166	sp|Q2KIH7|PH4H_BOVIN	0	Phenylalanine-4-hydroxylase OS=Bos taurus GN=PAH PE=2 SV=1	tr|A0A2B4S6F0|A0A2B4S6F0_STYPI	0	Phenylalanine-4-hydroxylase OS=Stylophora pistillata GN=PAH PE=4 SV=1	ref|XP_020606140.1|	0	phenylalanine-4-hydroxylase-like isoform X1 [Orbicella faveolata]	GO:0005506; GO:0004505; GO:0006559	GO:0005506; GO:0004505; GO:0006559
evm.model.Ap2.2166.1.5f15e0fb	sp|Q2KIH7|PH4H_BOVIN	0	Phenylalanine-4-hydroxylase OS=Bos taurus GN=PAH PE=2 SV=1	tr|A0A2B4S6F0|A0A2B4S6F0_STYPI	0	Phenylalanine-4-hydroxylase OS=Stylophora pistillata GN=PAH PE=4 SV=1	ref|XP_020606141.1|	0	phenylalanine-4-hydroxylase-like isoform X2 [Orbicella faveolata]	GO:0005506; GO:0004505; GO:0006559	GO:0005506; GO:0004505; GO:0006559
evm.model.Ap2.2169	sp|P0CI65|NPHP3_DANRE	2.63e-37	Nephrocystin-3 OS=Danio rerio GN=nphp3 PE=3 SV=1	tr|A0A2B4S6D6|A0A2B4S6D6_STYPI	0	Nephrocystin-3 OS=Stylophora pistillata GN=NPHP3 PE=4 SV=1	ref|XP_020621187.1|	0	uncharacterized protein LOC110058866 [Orbicella faveolata]	GO:0005929; GO:0060271; GO:0060026; GO:0003146; GO:0070121; GO:0060972; GO:0048793; GO:0007601; GO:0016055	GO:0043531
evm.model.Ap2.2168	sp|P20385|CF2_DROME	1.37e-11	Chorion transcription factor Cf2 OS=Drosophila melanogaster GN=Cf2 PE=2 SV=3	tr|A0A0L8GA96|A0A0L8GA96_OCTBM	1.49e-10	Uncharacterized protein OS=Octopus bimaculoides GN=OCBIM_22037022mg PE=4 SV=1	ref|XP_020630037.1|	2.38e-29	zinc finger protein 431-like [Orbicella faveolata]	GO:0005634; GO:0046872; GO:0043565; GO:0001077; GO:0007527; GO:0032968	GO:0046872; GO:0003676
evm.model.Ap2.1379	NA	NA	NA	tr|A0A2B4RD72|A0A2B4RD72_STYPI	0	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene21066 PE=4 SV=1	gb|KXJ08853.1|	0	hypothetical protein AC249_AIPGENE14728 [Exaiptasia pallida]	NA	GO:0003676
evm.model.Ap2.1378	sp|Q99572|P2RX7_HUMAN	2.61e-09	P2X purinoceptor 7 OS=Homo sapiens GN=P2RX7 PE=1 SV=4	tr|A0A2B4SG98|A0A2B4SG98_STYPI	8.36e-40	P2X purinoceptor 7 OS=Stylophora pistillata GN=P2RX7 PE=4 SV=1	gb|PFX27532.1|	1.3e-39	P2X purinoceptor 7-like [Stylophora pistillata]	GO:0032059; GO:0005911; GO:0005737; GO:0009897; GO:0005639; GO:0005887; GO:0016020; GO:0031594; GO:0043025; GO:0005886; GO:0098794; GO:0098793; GO:0005524; GO:0004931; GO:0001530; GO:0042803; GO:0001614; GO:0005102; GO:0000187; GO:0097190; GO:0032060; GO:0007596; GO:0000902; GO:0007166; GO:0071359; GO:0031668; GO:0046513; GO:0032963; GO:0019835; GO:0050830; GO:0097191; GO:0048873; GO:0006954; GO:0051899; GO:0006509; GO:0007005; GO:0044254; GO:0043132; GO:0045779; GO:0045794; GO:0043409; GO:0001845; GO:0017121; GO:0006649; GO:0045332; GO:0046931; GO:1904172; GO:0030501; GO:0010524; GO:0045919; GO:0051495; GO:0014054; GO:0010628; GO:0014049; GO:0045821; GO:0050717; GO:0050718; GO:0032755; GO:0034767; GO:0070230; GO:0051901; GO:0032308; GO:0001916; GO:0051259; GO:0006468; GO:0016485; GO:0035590; GO:0072593; GO:0051709; GO:0002028; GO:0051209; GO:0033198; GO:0051592; GO:0051602; GO:0034405; GO:0032496; GO:0009612; GO:0010043; GO:0019233; GO:0048705; GO:0016079; GO:0043029; GO:0042098; GO:0006900	
evm.model.Ap2.1371	sp|O15439|MRP4_HUMAN	2.7e-101	Multidrug resistance-associated protein 4 OS=Homo sapiens GN=ABCC4 PE=1 SV=3	tr|A0A2B4SDU5|A0A2B4SDU5_STYPI	0	Multidrug resistance-associated protein 4 OS=Stylophora pistillata GN=ABCC4 PE=4 SV=1	ref|XP_020607738.1|	0	multidrug resistance-associated protein 4-like [Orbicella faveolata]	GO:0016323; GO:0005887; GO:0016020; GO:0005886; GO:0031088; GO:0016404; GO:0005524; GO:0015662; GO:0042626; GO:0043225; GO:0060271; GO:0002576; GO:0048661; GO:0032310; GO:0042493; GO:0014070; GO:0010243; GO:0055085	GO:0016021; GO:0005524; GO:0042626
evm.model.Ap2.1370	sp|P06683|CO9_MOUSE	2.08e-06	Complement component C9 OS=Mus musculus GN=C9 PE=1 SV=2	tr|A0A2B4SJW2|A0A2B4SJW2_STYPI	0	Neuronal pentraxin-2 OS=Stylophora pistillata GN=NPTX2 PE=4 SV=1	ref|XP_022784731.1|	0	LOW QUALITY PROTEIN: uncharacterized protein LOC111325231 [Stylophora pistillata]	GO:0005829; GO:0005615; GO:0005579; GO:0044218; GO:0005886; GO:0001906; GO:0006957; GO:0006958; GO:0019835; GO:0051260	
evm.model.Ap2.1373	NA	NA	NA	tr|A0A2B4SCU6|A0A2B4SCU6_STYPI	1.03e-25	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene8944 PE=4 SV=1	gb|KXJ09287.1|	1.28e-44	putative enzymatic polyprotein [Exaiptasia pallida]	NA	GO:0003676
evm.model.Ap2.1372	NA	NA	NA	tr|A0A2B4RBC1|A0A2B4RBC1_STYPI	8.7e-94	C-reactive protein 1.1 OS=Stylophora pistillata GN=AWC38_SpisGene22387 PE=4 SV=1	ref|XP_020623828.1|	0	uncharacterized protein LOC110061329 [Orbicella faveolata]	NA	
evm.model.Ap2.1375	NA	NA	NA	tr|A0A2B4SJW2|A0A2B4SJW2_STYPI	1.71e-08	Neuronal pentraxin-2 OS=Stylophora pistillata GN=NPTX2 PE=4 SV=1	ref|XP_020623829.1|	6.56e-44	uncharacterized protein LOC110061331 [Orbicella faveolata]	NA	
evm.model.Ap2.1374	NA	NA	NA	tr|A0A2B4SJW2|A0A2B4SJW2_STYPI	1.28e-07	Neuronal pentraxin-2 OS=Stylophora pistillata GN=NPTX2 PE=4 SV=1	ref|XP_020623829.1|	1.81e-44	uncharacterized protein LOC110061331 [Orbicella faveolata]	NA	
evm.model.Ap2.1377	NA	NA	NA	tr|A0A293LWE6|A0A293LWE6_ORNER	3.3e-22	Uncharacterized protein (Fragment) OS=Ornithodoros erraticus PE=4 SV=1	ref|XP_015748189.1|	2.54e-42	PREDICTED: uncharacterized protein LOC107327986 [Acropora digitifera]	NA	GO:0003677
evm.model.Ap2.1376	NA	NA	NA	tr|A0A293LGM7|A0A293LGM7_ORNER	3.33e-18	Uncharacterized protein (Fragment) OS=Ornithodoros erraticus PE=4 SV=1	ref|XP_015775652.1|	4.01e-70	PREDICTED: uncharacterized protein LOC107353779 [Acropora digitifera]	NA	
evm.model.Ap2.1601	sp|Q7TMF2|ERI1_MOUSE	6.79e-57	3'-5' exoribonuclease 1 OS=Mus musculus GN=Eri1 PE=1 SV=2	tr|A0A2B4S0W3|A0A2B4S0W3_STYPI	4.53e-95	Putative leucine-rich repeat-containing protein OS=Stylophora pistillata GN=AWC38_SpisGene11048 PE=4 SV=1	gb|PFX24334.1|	7.01e-95	putative leucine-rich repeat-containing protein [Stylophora pistillata]	GO:0005737; GO:0071204; GO:0005730; GO:0005634; GO:0008408; GO:0071207; GO:0046872; GO:0043022; GO:0019843; GO:0006259; GO:0031047; GO:0031125	GO:0016021; GO:0003676
evm.model.Ap2.1600	sp|Q54T82|Y1931_DICDI	1e-55	Putative leucine-rich repeat-containing protein DDB_G0281931 OS=Dictyostelium discoideum GN=DDB_G0281931 PE=4 SV=1	tr|A0A2B4S5L4|A0A2B4S5L4_STYPI	0	Putative leucine-rich repeat-containing protein OS=Stylophora pistillata GN=AWC38_SpisGene11049 PE=4 SV=1	ref|XP_020611975.1|	0	putative leucine-rich repeat-containing protein DDB_G0281931 [Orbicella faveolata]	GO:0016021	GO:0016021
evm.model.Ap2.1603	sp|P59110|SENP1_MOUSE	3.81e-13	Sentrin-specific protease 1 OS=Mus musculus GN=Senp1 PE=2 SV=1	tr|A0A2B4R5F2|A0A2B4R5F2_STYPI	9.49e-46	Sentrin-specific protease 1 OS=Stylophora pistillata GN=SENP1 PE=4 SV=1	ref|XP_022777969.1|	6.05e-57	uncharacterized protein LOC111319468, partial [Stylophora pistillata]	GO:0005737; GO:0005925; GO:0031965; GO:0005634; GO:0004175; GO:0070139; GO:0070140; GO:0006919; GO:0097190; GO:0007275; GO:0032435; GO:0045944; GO:0016926; GO:0010724	GO:0008234
evm.model.Ap2.1602	NA	NA	NA	tr|A7S3K3|A7S3K3_NEMVE	2.32e-156	Predicted protein OS=Nematostella vectensis GN=v1g206253 PE=4 SV=1	ref|XP_020900513.1|	0	uncharacterized protein LOC110239148 [Exaiptasia pallida]	NA	
evm.model.Ap2.1605	sp|Q54T82|Y1931_DICDI	1.13e-50	Putative leucine-rich repeat-containing protein DDB_G0281931 OS=Dictyostelium discoideum GN=DDB_G0281931 PE=4 SV=1	tr|A0A2B4S5L4|A0A2B4S5L4_STYPI	0	Putative leucine-rich repeat-containing protein OS=Stylophora pistillata GN=AWC38_SpisGene11049 PE=4 SV=1	ref|XP_020611259.1|	0	putative leucine-rich repeat-containing protein DDB_G0281931 [Orbicella faveolata]	GO:0016021	GO:0016021
evm.model.Ap2.1604	NA	NA	NA	tr|C3YEL0|C3YEL0_BRAFL	5.37e-07	Uncharacterized protein OS=Branchiostoma floridae GN=BRAFLDRAFT_89062 PE=4 SV=1	gb|EEN61312.1|	8.33e-07	hypothetical protein BRAFLDRAFT_89062 [Branchiostoma floridae]	NA	
evm.model.Ap2.1607	NA	NA	NA	NA	NA	NA	ref|XP_020610627.1|	5.37e-14	uncharacterized protein LOC110049182 isoform X2 [Orbicella faveolata]	NA	NA
evm.model.Ap2.1606	sp|Q54T82|Y1931_DICDI	7.48e-51	Putative leucine-rich repeat-containing protein DDB_G0281931 OS=Dictyostelium discoideum GN=DDB_G0281931 PE=4 SV=1	tr|A0A2B4S5L4|A0A2B4S5L4_STYPI	0	Putative leucine-rich repeat-containing protein OS=Stylophora pistillata GN=AWC38_SpisGene11049 PE=4 SV=1	ref|XP_020611259.1|	0	putative leucine-rich repeat-containing protein DDB_G0281931 [Orbicella faveolata]	GO:0016021	GO:0016021
evm.model.Ap2.1609	NA	NA	NA	tr|A0A2B4S733|A0A2B4S733_STYPI	5.08e-21	Uncharacterized protein OS=Stylophora pistillata GN=AWC38_SpisGene11047 PE=4 SV=1	ref|XP_020610626.1|	2.05e-60	uncharacterized protein LOC110049182 isoform X1 [Orbicella faveolata]	NA	
evm.model.Ap2.1608	NA	NA	NA	tr|A0A183VWT7|A0A183VWT7_TRIRE	1.28e-09	Uncharacterized protein OS=Trichobilharzia regenti PE=4 SV=1	ref|XP_015748763.1|	1.92e-12	PREDICTED: uncharacterized protein LOC107328554 [Acropora digitifera]	NA	
evm.model.Ap2.2554	sp|Q9Z2D5|NPY2R_CAVPO	8.75e-09	Neuropeptide Y receptor type 2 OS=Cavia porcellus GN=NPY2R PE=3 SV=1	tr|W5MCV6|W5MCV6_LEPOC	1.05e-10	Neuropeptide FF receptor 1 OS=Lepisosteus oculatus PE=3 SV=1	ref|XP_020608217.1|	2.1e-70	neuropeptide Y receptor type 2-like [Orbicella faveolata]	GO:0016021; GO:0005886; GO:0004983	GO:0016021; GO:0008188
evm.model.Ap2.2555	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
evm.model.Ap2.2556	NA	NA	NA	tr|A0A2B4RV22|A0A2B4RV22_STYPI	1.49e-72	Transmembrane protein 72 OS=Stylophora pistillata GN=TMEM72 PE=4 SV=1	ref|XP_020604747.1|	3.75e-74	transmembrane protein 72-like [Orbicella faveolata]	NA	GO:0016021
