"gene","GO_Description"
"evm.TU.Ap4.22",NA
"evm.TU.Ap4.23","Voltage-dependent calcium channel type A subunit alpha-1 OS=Drosophila melanogaster GN=cac PE=1 SV=3"
"evm.TU.Ap4.20","Cadherin EGF LAG seven-pass G-type receptor 2 OS=Homo sapiens GN=CELSR2 PE=1 SV=1"
"evm.TU.Ap4.21",NA
"evm.TU.Ap4.26","C-reactive protein 3.3 OS=Limulus polyphemus PE=1 SV=1"
"evm.TU.Ap4.27","Methylthioribose-1-phosphate isomerase OS=Nematostella vectensis GN=v1g237765 PE=3 SV=1"
"evm.TU.Ap4.24",NA
"evm.TU.Ap4.25","Protein Hikeshi OS=Rattus norvegicus GN=Hikeshi PE=2 SV=2"
"evm.TU.Ap4.1463",NA
"evm.TU.Ap4.3331",NA
"evm.TU.Ap4.3330",NA
"evm.TU.Ap4.6116",NA
"evm.TU.Ap4.3333",NA
"evm.TU.Ap4.6117",NA
"evm.TU.Ap4.3332",NA
"evm.TU.Ap4.6114","Fibrinogen C domain-containing protein 1 OS=Xenopus tropicalis GN=fibcd1 PE=2 SV=1"
"evm.TU.Ap4.3335",NA
"evm.TU.Ap4.6115",NA
"evm.TU.Ap4.3334",NA
"evm.TU.Ap4.3337","Retrovirus-related Pol polyprotein from type-2 retrotransposable element R2DM OS=Drosophila melanogaster GN=pol PE=3 SV=1"
"evm.TU.Ap4.3336",NA
"evm.TU.Ap4.2804",NA
"evm.TU.Ap4.2805",NA
"evm.TU.Ap4.2806",NA
"evm.TU.Ap4.2807",NA
"evm.TU.Ap4.2800",NA
"evm.TU.Ap4.2801",NA
"evm.TU.Ap4.2802",NA
"evm.TU.Ap4.2803",NA
"evm.TU.Ap4.2808",NA
"evm.TU.Ap4.2809","Zinc finger MYM-type protein 3 OS=Mus musculus GN=Zmym3 PE=1 SV=1"
"evm.TU.Ap4.1649",NA
"evm.TU.Ap4.1648",NA
"evm.TU.Ap4.1647",NA
"evm.TU.Ap4.1646",NA
"evm.TU.Ap4.1645","Mucin-like protein (Fragment) OS=Acropora millepora PE=1 SV=1"
"evm.TU.Ap4.1644","Aquaporin-3 OS=Sus scrofa GN=AQP3 PE=2 SV=1"
"evm.TU.Ap4.1643","Aquaporin-3 OS=Sus scrofa GN=AQP3 PE=2 SV=1"
"evm.TU.Ap4.1642",NA
"evm.TU.Ap4.1641","Transposon TX1 uncharacterized 149 kDa protein OS=Xenopus laevis PE=4 SV=1"
"evm.TU.Ap4.1640",NA
"evm.TU.Ap4.6912","Beta-1 adrenergic receptor OS=Xenopus laevis GN=adrb1 PE=2 SV=1"
"evm.TU.Ap4.6913",NA
"evm.TU.Ap4.6910","Rhodopsin, GQ-coupled OS=Mizuhopecten yessoensis GN=SCOP1 PE=1 SV=1"
"evm.TU.Ap4.6911","5-hydroxytryptamine receptor 1F OS=Rattus norvegicus GN=Htr1f PE=3 SV=1"
"evm.TU.Ap4.6916",NA
"evm.TU.Ap4.6917",NA
"evm.TU.Ap4.6914","Probable RNA-directed DNA polymerase from transposon BS OS=Drosophila melanogaster GN=RTase PE=2 SV=1"
"evm.TU.Ap4.6915",NA
"evm.TU.Ap4.6918",NA
"evm.TU.Ap4.6919","Rhodopsin OS=Astyanax fasciatus GN=rho PE=1 SV=1"
"evm.TU.Ap4.2382",NA
"evm.TU.Ap4.3735",NA
"evm.TU.Ap4.3734",NA
"evm.TU.Ap4.3737",NA
"evm.TU.Ap4.3736",NA
"evm.TU.Ap4.3731",NA
"evm.TU.Ap4.3730",NA
"evm.TU.Ap4.3733","Protein ANTAGONIST OF LIKE HETEROCHROMATIN PROTEIN 1 OS=Arabidopsis thaliana GN=ALP1 PE=1 SV=1"
"evm.TU.Ap4.3732",NA
"evm.TU.Ap4.3739","ATP-dependent DNA helicase PIF1 OS=Xenopus laevis GN=pif1 PE=2 SV=1"
"evm.TU.Ap4.3738",NA
"evm.TU.Ap4.4424","Uncharacterized protein K02A2.6 OS=Caenorhabditis elegans GN=K02A2.6 PE=4 SV=1"
"evm.TU.Ap4.4425",NA
"evm.TU.Ap4.4426","Transposon TX1 uncharacterized 149 kDa protein OS=Xenopus laevis PE=4 SV=1"
"evm.TU.Ap4.4427",NA
"evm.TU.Ap4.4420",NA
"evm.TU.Ap4.4421",NA
"evm.TU.Ap4.4422",NA
"evm.TU.Ap4.4423",NA
"evm.TU.Ap4.4428",NA
"evm.TU.Ap4.4429",NA
"evm.TU.Ap4.4280","Uncharacterized protein K02A2.6 OS=Caenorhabditis elegans GN=K02A2.6 PE=4 SV=1"
"evm.TU.Ap4.4281","Retrovirus-related Pol polyprotein from transposon opus OS=Drosophila melanogaster GN=pol PE=3 SV=1"
"evm.TU.Ap4.4282","Uncharacterized protein K02A2.6 OS=Caenorhabditis elegans GN=K02A2.6 PE=4 SV=1"
"evm.TU.Ap4.4283",NA
"evm.TU.Ap4.4284",NA
"evm.TU.Ap4.4285",NA
"evm.TU.Ap4.4286",NA
"evm.TU.Ap4.4287",NA
"evm.TU.Ap4.4288",NA
"evm.TU.Ap4.4289",NA
"evm.TU.Ap4.5777","Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16 OS=Pan troglodytes GN=DHX16 PE=3 SV=1"
"evm.TU.Ap4.5776",NA
"evm.TU.Ap4.5775",NA
"evm.TU.Ap4.5774",NA
"evm.TU.Ap4.5773",NA
"evm.TU.Ap4.5772",NA
"evm.TU.Ap4.5771","Collagen alpha-1(XXI) chain OS=Homo sapiens GN=COL21A1 PE=2 SV=1"
"evm.TU.Ap4.5770","Collagen triple helix repeat-containing protein 1 OS=Rattus norvegicus GN=Cthrc1 PE=1 SV=1"
"evm.TU.Ap4.5779","Collagen triple helix repeat-containing protein 1 OS=Rattus norvegicus GN=Cthrc1 PE=1 SV=1"
"evm.TU.Ap4.5778",NA
"evm.TU.Ap4.5489","Cathepsin L OS=Sarcophaga peregrina PE=1 SV=1"
"evm.TU.Ap4.5488","Cathepsin L OS=Sarcophaga peregrina PE=1 SV=1"
"evm.TU.Ap4.5485","L-rhamnose-binding lectin SML OS=Scomberomorus niphonius PE=1 SV=1"
"evm.TU.Ap4.5484","Uncharacterized skeletal organic matrix protein 5 OS=Acropora millepora PE=1 SV=1"
"evm.TU.Ap4.5487","Cathepsin L OS=Sarcophaga peregrina PE=1 SV=1"
"evm.TU.Ap4.5486","Cathepsin L1 OS=Chlorocebus aethiops GN=CTSL PE=1 SV=1"
"evm.TU.Ap4.5481","Monocarboxylate transporter 10 OS=Danio rerio GN=slc16a10 PE=2 SV=1"
"evm.TU.Ap4.5480",NA
"evm.TU.Ap4.5483","Uncharacterized protein YafE OS=Escherichia coli (strain K12) GN=yafE PE=3 SV=1"
"evm.TU.Ap4.5482","Diaminopimelate decarboxylase OS=Helicobacter pylori (strain J99 / ATCC 700824) GN=lysA PE=3 SV=1"
"evm.TU.Ap4.388","V-type proton ATPase subunit C OS=Manduca sexta PE=2 SV=1"
"evm.TU.Ap4.389",NA
"evm.TU.Ap4.386","Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A OS=Mus musculus GN=Mgat5 PE=2 SV=1"
"evm.TU.Ap4.387.1.5f15ddbe","MOB kinase activator-like 3 OS=Drosophila melanogaster GN=Mob3 PE=2 SV=1"
"evm.TU.Ap4.387","MOB kinase activator-like 3 OS=Drosophila melanogaster GN=Mob3 PE=2 SV=1"
"evm.TU.Ap4.384","Collagen alpha-6(VI) chain OS=Homo sapiens GN=COL6A6 PE=1 SV=2"
"evm.TU.Ap4.385",NA
"evm.TU.Ap4.382",NA
"evm.TU.Ap4.383","Dynamin-binding protein OS=Homo sapiens GN=DNMBP PE=1 SV=1"
"evm.TU.Ap4.380",NA
"evm.TU.Ap4.381",NA
"evm.TU.Ap4.654","Agrin OS=Homo sapiens GN=AGRN PE=1 SV=5"
"evm.TU.Ap4.655","Kelch-like protein 17 OS=Mus musculus GN=Klhl17 PE=1 SV=1"
"evm.TU.Ap4.656","RNA-directed DNA polymerase from mobile element jockey OS=Drosophila melanogaster GN=pol PE=1 SV=1"
"evm.TU.Ap4.657","Kelch-like protein 12 OS=Xenopus laevis GN=klhl12 PE=2 SV=2"
"evm.TU.Ap4.650",NA
"evm.TU.Ap4.651","GREB1-like protein OS=Homo sapiens GN=GREB1L PE=1 SV=2"
"evm.TU.Ap4.652",NA
"evm.TU.Ap4.653",NA
"evm.TU.Ap4.658","Kelch-like protein 2 OS=Rattus norvegicus GN=Klhl2 PE=1 SV=3"
"evm.TU.Ap4.659","Kelch-like protein 5 OS=Homo sapiens GN=KLHL5 PE=2 SV=3"
"evm.TU.Ap4.5861","b(0,+)-type amino acid transporter 1 OS=Oryctolagus cuniculus GN=SLC7A9 PE=1 SV=1"
"evm.TU.Ap4.5368_evm.TU.Ap4.5386","HAUS augmin-like complex subunit 4 OS=Mus musculus GN=Haus4 PE=1 SV=1"
"evm.TU.Ap4.5368_evm.TU.Ap4.5386.1.5f1690ea","HAUS augmin-like complex subunit 4 OS=Homo sapiens GN=HAUS4 PE=1 SV=1"
"evm.TU.Ap4.1126","Dihydropyrimidinase OS=Homo sapiens GN=DPYS PE=1 SV=1"
"evm.TU.Ap4.1127","Glycine-rich domain-containing protein 1 OS=Arabidopsis thaliana GN=GRDP1 PE=2 SV=1"
"evm.TU.Ap4.1124",NA
"evm.TU.Ap4.1125",NA
"evm.TU.Ap4.1122","Galaxin OS=Acropora millepora PE=1 SV=1"
"evm.TU.Ap4.1120",NA
"evm.TU.Ap4.416","Trace amine-associated receptor 5 OS=Homo sapiens GN=TAAR5 PE=2 SV=2"
"evm.TU.Ap4.417",NA
"evm.TU.Ap4.414",NA
"evm.TU.Ap4.415","Periaxin OS=Homo sapiens GN=PRX PE=1 SV=2"
"evm.TU.Ap4.412","Paternally-expressed gene 3 protein OS=Bos taurus GN=PEG3 PE=2 SV=1"
"evm.TU.Ap4.413","Variable charge X-linked protein 3B OS=Homo sapiens GN=VCX3B PE=2 SV=4"
"evm.TU.Ap4.410","Transcriptional activator protein Pur-alpha OS=Homo sapiens GN=PURA PE=1 SV=2"
"evm.TU.Ap4.411","FAS-associated factor 2-B OS=Xenopus laevis GN=faf2-b PE=2 SV=1"
"evm.TU.Ap4.418","CUB and sushi domain-containing protein 2 OS=Homo sapiens GN=CSMD2 PE=1 SV=2"
"evm.TU.Ap4.419","Deleted in malignant brain tumors 1 protein OS=Mus musculus GN=Dmbt1 PE=1 SV=2"
"evm.TU.Ap4.6899","Uncharacterized aarF domain-containing protein kinase 5 OS=Mus musculus GN=Adck5 PE=2 SV=2"
"evm.TU.Ap4.6898",NA
"evm.TU.Ap4.6897","5-hydroxytryptamine receptor 1 OS=Drosophila melanogaster GN=5-HT7 PE=2 SV=1"
"evm.TU.Ap4.6896",NA
"evm.TU.Ap4.6895","Dopamine receptor 4 OS=Caenorhabditis elegans GN=dop-4 PE=2 SV=2"
"evm.TU.Ap4.6894",NA
"evm.TU.Ap4.6893","Trigger factor OS=Herpetosiphon aurantiacus (strain ATCC 23779 / DSM 785) GN=tig PE=3 SV=1"
"evm.TU.Ap4.6892",NA
"evm.TU.Ap4.6891","E3 ubiquitin-protein ligase TRIM71 OS=Rattus norvegicus GN=Trim71 PE=3 SV=1"
"evm.TU.Ap4.6890","Kelch-like protein 20 OS=Pongo abelii GN=KLHL20 PE=2 SV=3"
"evm.TU.Ap4.2389","52 kDa repressor of the inhibitor of the protein kinase OS=Mus musculus GN=Thap12 PE=2 SV=2"
"evm.TU.Ap4.2388",NA
"evm.TU.Ap4.2387",NA
"evm.TU.Ap4.2386","Pogo transposable element with KRAB domain OS=Mus musculus GN=Pogk PE=2 SV=2"
"evm.TU.Ap4.2385","Pogo transposable element with KRAB domain OS=Homo sapiens GN=POGK PE=1 SV=2"
"evm.TU.Ap4.2384",NA
"evm.TU.Ap4.2383","52 kDa repressor of the inhibitor of the protein kinase OS=Mus musculus GN=Thap12 PE=2 SV=2"
"evm.TU.Ap4.2381",NA
"evm.TU.Ap4.2380",NA
"evm.TU.Ap4.6765",NA
"evm.TU.Ap4.6764",NA
"evm.TU.Ap4.6767","Chymotrypsin-like protease CTRL-1 OS=Homo sapiens GN=CTRL PE=2 SV=1"
"evm.TU.Ap4.6766",NA
"evm.TU.Ap4.6761","Translin-associated factor X-interacting protein 1 OS=Mus musculus GN=Tsnaxip1 PE=1 SV=2"
"evm.TU.Ap4.6760","RanBP-type and C3HC4-type zinc finger-containing protein 1 OS=Danio rerio GN=rbck1 PE=2 SV=1"
"evm.TU.Ap4.6763","CD109 antigen OS=Homo sapiens GN=CD109 PE=1 SV=2"
"evm.TU.Ap4.6762","Glutathione S-transferase theta-2B OS=Homo sapiens GN=GSTT2B PE=1 SV=1"
"evm.TU.Ap4.6769",NA
"evm.TU.Ap4.6768","Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 2 protein OS=Danio rerio GN=herpud2 PE=2 SV=1"
"evm.TU.Ap4.2655",NA
"evm.TU.Ap4.2654",NA
"evm.TU.Ap4.2657",NA
"evm.TU.Ap4.2656",NA
"evm.TU.Ap4.2651",NA
"evm.TU.Ap4.2650",NA
"evm.TU.Ap4.2653",NA
"evm.TU.Ap4.2652",NA
"evm.TU.Ap4.2659",NA
"evm.TU.Ap4.2658",NA
"evm.TU.Ap4.6473","Kelch-like protein 28 OS=Homo sapiens GN=KLHL28 PE=2 SV=2"
"evm.TU.Ap4.6472","Collagen alpha-2(VI) chain OS=Homo sapiens GN=COL6A2 PE=1 SV=4"
"evm.TU.Ap4.6248","ATP-dependent DNA helicase Q1 OS=Rattus norvegicus GN=Recql PE=1 SV=1"
"evm.TU.Ap4.6479","Vertnin OS=Danio rerio GN=vrtn PE=2 SV=1"
"evm.TU.Ap4.5526","Ubiquitin carboxyl-terminal hydrolase 19 OS=Arabidopsis thaliana GN=UBP19 PE=2 SV=2"
"evm.TU.Ap4.5527","Forkhead box protein C2-B OS=Xenopus laevis GN=foxc2-b PE=2 SV=2"
"evm.TU.Ap4.5524",NA
"evm.TU.Ap4.5525","F-box protein At5g50450 OS=Arabidopsis thaliana GN=At5g50450 PE=2 SV=1"
"evm.TU.Ap4.5522","F-box protein At5g50450 OS=Arabidopsis thaliana GN=At5g50450 PE=2 SV=1"
"evm.TU.Ap4.5523","Ubiquitin carboxyl-terminal hydrolase 19 OS=Arabidopsis thaliana GN=UBP19 PE=2 SV=2"
"evm.TU.Ap4.5520","F-box protein At5g50450 OS=Arabidopsis thaliana GN=At5g50450 PE=2 SV=1"
"evm.TU.Ap4.5521",NA
"evm.TU.Ap4.5528","Forkhead box protein Q1 OS=Rattus norvegicus GN=Foxq1 PE=1 SV=3"
"evm.TU.Ap4.5529","Forkhead box protein Q1 OS=Rattus norvegicus GN=Foxq1 PE=1 SV=3"
"evm.TU.Ap4.6285_evm.TU.Ap4.6286","Multidrug and toxin extrusion protein 2 OS=Mus musculus GN=Slc47a2 PE=1 SV=1"
"evm.TU.Ap4.1034","Cyclic GMP-AMP synthase OS=Mus musculus GN=Cgas PE=1 SV=1"
"evm.TU.Ap4.1035","Cyclic GMP-AMP synthase OS=Mus musculus GN=Cgas PE=1 SV=1"
"evm.TU.Ap4.1036","Isovaleryl-CoA dehydrogenase, mitochondrial OS=Bos taurus GN=IVD PE=2 SV=1"
"evm.TU.Ap4.1037","Transposon Tf2-3 polyprotein OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=Tf2-3 PE=1 SV=1"
"evm.TU.Ap4.1030","Protein bicaudal C homolog 1 OS=Homo sapiens GN=BICC1 PE=1 SV=2"
"evm.TU.Ap4.1031",NA
"evm.TU.Ap4.1032",NA
"evm.TU.Ap4.1033","Protein mab-21-like 2 OS=Danio rerio GN=mab21l2 PE=1 SV=1"
"evm.TU.Ap4.1038",NA
"evm.TU.Ap4.1039","UBX domain-containing protein 8 OS=Homo sapiens GN=UBXN8 PE=1 SV=2"
"evm.TU.Ap4.6958","Maestro heat-like repeat-containing protein family member 1 OS=Homo sapiens GN=MROH1 PE=2 SV=3"
"evm.TU.Ap4.6959","F-box only protein 48 OS=Homo sapiens GN=FBXO48 PE=1 SV=1"
"evm.TU.Ap4.7319","Kinesin-like protein KIF15 OS=Strongylocentrotus purpuratus GN=KIF15 PE=1 SV=1"
"evm.TU.Ap4.7318","Kinesin-like protein KIF15 OS=Strongylocentrotus purpuratus GN=KIF15 PE=1 SV=1"
"evm.TU.Ap4.6951","C-Maf-inducing protein OS=Xenopus laevis GN=cmip PE=2 SV=2"
"evm.TU.Ap4.6567","Proteasome subunit beta type-5 OS=Rattus norvegicus GN=Psmb5 PE=1 SV=3"
"evm.TU.Ap4.6566",NA
"evm.TU.Ap4.6565",NA
"evm.TU.Ap4.6564",NA
"evm.TU.Ap4.6563",NA
"evm.TU.Ap4.6562","39S ribosomal protein L3, mitochondrial OS=Mus musculus GN=Mrpl3 PE=1 SV=1"
"evm.TU.Ap4.6561","Tetratricopeptide repeat protein 28 OS=Homo sapiens GN=TTC28 PE=1 SV=4"
"evm.TU.Ap4.6560","Unconventional prefoldin RPB5 interactor 1 OS=Homo sapiens GN=URI1 PE=1 SV=3"
"evm.TU.Ap4.6569","C-factor OS=Myxococcus xanthus GN=csgA PE=1 SV=1"
"evm.TU.Ap4.6568","C-factor OS=Myxococcus xanthus GN=csgA PE=1 SV=1"
"evm.TU.Ap4.2714",NA
"evm.TU.Ap4.2715",NA
"evm.TU.Ap4.2716",NA
"evm.TU.Ap4.2717",NA
"evm.TU.Ap4.2710",NA
"evm.TU.Ap4.2711",NA
"evm.TU.Ap4.2712",NA
"evm.TU.Ap4.2713",NA
"evm.TU.Ap4.2718",NA
"evm.TU.Ap4.2719","Zinc finger MYM-type protein 1 OS=Homo sapiens GN=ZMYM1 PE=1 SV=1"
"evm.TU.Ap4.3044","Probable RNA-directed DNA polymerase from transposon BS OS=Drosophila melanogaster GN=RTase PE=2 SV=1"
"evm.TU.Ap4.3049",NA
"evm.TU.Ap4.3048",NA
"evm.TU.Ap4.4909",NA
"evm.TU.Ap4.4908",NA
"evm.TU.Ap4.4903",NA
"evm.TU.Ap4.4902",NA
"evm.TU.Ap4.4901",NA
"evm.TU.Ap4.4900",NA
"evm.TU.Ap4.4907",NA
"evm.TU.Ap4.4906",NA
"evm.TU.Ap4.4905",NA
"evm.TU.Ap4.4904",NA
"evm.TU.Ap4.5058",NA
"evm.TU.Ap4.5059","Probable RNA-directed DNA polymerase from transposon X-element OS=Drosophila melanogaster GN=X-element\ORF2 PE=3 SV=1"
"evm.TU.Ap4.5056",NA
"evm.TU.Ap4.5057",NA
"evm.TU.Ap4.5054","U3 small nucleolar RNA-associated protein 4 homolog OS=Homo sapiens GN=UTP4 PE=1 SV=1"
"evm.TU.Ap4.5055","NEDD4-like E3 ubiquitin-protein ligase WWP1 OS=Mus musculus GN=Wwp1 PE=1 SV=2"
"evm.TU.Ap4.5052","tRNA (cytosine(34)-C(5))-methyltransferase OS=Mus musculus GN=Nsun2 PE=1 SV=2"
"evm.TU.Ap4.5053","Multisite-specific tRNA:(cytosine-C(5))-methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NCL1 PE=1 SV=1"
"evm.TU.Ap4.5050","Retrovirus-related Pol polyprotein from transposon gypsy OS=Drosophila melanogaster GN=pol PE=3 SV=1"
"evm.TU.Ap4.5051","Uncharacterized protein K02A2.6 OS=Caenorhabditis elegans GN=K02A2.6 PE=4 SV=1"
"evm.TU.Ap4.1379",NA
"evm.TU.Ap4.1378","Multidrug resistance-associated protein 4 OS=Homo sapiens GN=ABCC4 PE=1 SV=3"
"evm.TU.Ap4.1377","Multidrug resistance-associated protein 4 OS=Homo sapiens GN=ABCC4 PE=1 SV=3"
"evm.TU.Ap4.1376","Multidrug resistance-associated protein 4 OS=Homo sapiens GN=ABCC4 PE=1 SV=3"
"evm.TU.Ap4.1375","Multidrug resistance-associated protein 4 OS=Homo sapiens GN=ABCC4 PE=1 SV=3"
"evm.TU.Ap4.1374","Kelch-like protein 2 OS=Mus musculus GN=Klhl2 PE=1 SV=1"
"evm.TU.Ap4.1373","Prefoldin subunit 1 OS=Bos taurus GN=PFDN1 PE=2 SV=1"
"evm.TU.Ap4.1372","Protein FAM185A OS=Homo sapiens GN=FAM185A PE=2 SV=3"
"evm.TU.Ap4.1371","EGF-like repeat and discoidin I-like domain-containing protein 3 OS=Mus musculus GN=Edil3 PE=1 SV=2"
"evm.TU.Ap4.1370","Chymotrypsinogen A OS=Bos taurus PE=1 SV=1"
"evm.TU.Ap4.3814",NA
"evm.TU.Ap4.3815",NA
"evm.TU.Ap4.3816","Hepatocyte nuclear factor 6 OS=Homo sapiens GN=ONECUT1 PE=2 SV=1"
"evm.TU.Ap4.3812",NA
"evm.TU.Ap4.3813",NA
"evm.TU.Ap4.3847",NA
"evm.TU.Ap4.3846",NA
"evm.TU.Ap4.7021","Uncharacterized skeletal organic matrix protein 7 OS=Acropora millepora PE=1 SV=1"
"evm.TU.Ap4.7020","Uncharacterized skeletal organic matrix protein 7 OS=Acropora millepora PE=1 SV=1"
"evm.TU.Ap4.7023",NA
"evm.TU.Ap4.7022","Neuroendocrine convertase 1 OS=Homo sapiens GN=PCSK1 PE=1 SV=2"
"evm.TU.Ap4.7025",NA
"evm.TU.Ap4.7024",NA
"evm.TU.Ap4.7027",NA
"evm.TU.Ap4.7026",NA
"evm.TU.Ap4.7029",NA
"evm.TU.Ap4.7028",NA
"evm.TU.Ap4.4590",NA
"evm.TU.Ap4.4591",NA
"evm.TU.Ap4.4592",NA
"evm.TU.Ap4.4593",NA
"evm.TU.Ap4.4594",NA
"evm.TU.Ap4.4595",NA
"evm.TU.Ap4.4596",NA
"evm.TU.Ap4.4597","ATP-dependent DNA helicase PIF1 OS=Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) GN=pif1 PE=3 SV=2"
"evm.TU.Ap4.4598","ATP-dependent DNA helicase PIF1 OS=Danio rerio GN=pif1 PE=2 SV=1"
"evm.TU.Ap4.4599",NA
"evm.TU.Ap4.4046",NA
"evm.TU.Ap4.4047",NA
"evm.TU.Ap4.4044",NA
"evm.TU.Ap4.4045",NA
"evm.TU.Ap4.4042",NA
"evm.TU.Ap4.4043","KRAB-A domain-containing protein 2 OS=Homo sapiens GN=KRBA2 PE=1 SV=1"
"evm.TU.Ap4.4040",NA
"evm.TU.Ap4.4041",NA
"evm.TU.Ap4.4048",NA
"evm.TU.Ap4.4049","Probable RNA-directed DNA polymerase from transposon BS OS=Drosophila melanogaster GN=RTase PE=2 SV=1"
"evm.TU.Ap4.5319",NA
"evm.TU.Ap4.5318",NA
"evm.TU.Ap4.5310",NA
"evm.TU.Ap4.5314",NA
"evm.TU.Ap4.5317",NA
"evm.TU.Ap4.1171",NA
"evm.TU.Ap4.1170",NA
"evm.TU.Ap4.1173",NA
"evm.TU.Ap4.1175","Actin-like protein 6A OS=Homo sapiens GN=ACTL6A PE=1 SV=1"
"evm.TU.Ap4.1174",NA
"evm.TU.Ap4.1177","Glutamate receptor ionotropic, NMDA 2B OS=Xenopus laevis GN=grin2b PE=1 SV=1"
"evm.TU.Ap4.1176",NA
"evm.TU.Ap4.1178","Kinesin-like protein KIF27 OS=Mus musculus GN=Kif27 PE=1 SV=1"
"evm.TU.Ap4.6336","Golgin subfamily A member 4 OS=Rattus norvegicus GN=Golga4 PE=1 SV=2"
"evm.TU.Ap4.6337",NA
"evm.TU.Ap4.6334","Probable serine/threonine-protein kinase DDB_G0271682 OS=Dictyostelium discoideum GN=DDB_G0271682 PE=3 SV=2"
"evm.TU.Ap4.6335",NA
"evm.TU.Ap4.6332",NA
"evm.TU.Ap4.6333",NA
"evm.TU.Ap4.6330","Ubiquitin carboxyl-terminal hydrolase CYLD OS=Homo sapiens GN=CYLD PE=1 SV=1"
"evm.TU.Ap4.6331",NA
"evm.TU.Ap4.6338",NA
"evm.TU.Ap4.6339","Transposon Ty3-G Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TY3B-G PE=1 SV=3"
"evm.TU.Ap4.2527",NA
"evm.TU.Ap4.2526",NA
"evm.TU.Ap4.2525",NA
"evm.TU.Ap4.2524",NA
"evm.TU.Ap4.2523",NA
"evm.TU.Ap4.2522",NA
"evm.TU.Ap4.2521",NA
"evm.TU.Ap4.2520",NA
"evm.TU.Ap4.2529",NA
"evm.TU.Ap4.2528",NA
"evm.TU.Ap4.1959",NA
"evm.TU.Ap4.1958",NA
"evm.TU.Ap4.1957",NA
"evm.TU.Ap4.1956",NA
"evm.TU.Ap4.1955",NA
"evm.TU.Ap4.1954",NA
"evm.TU.Ap4.1953","Uncharacterized protein K02A2.6 OS=Caenorhabditis elegans GN=K02A2.6 PE=4 SV=1"
"evm.TU.Ap4.1952",NA
"evm.TU.Ap4.1951",NA
"evm.TU.Ap4.1950",NA
"evm.TU.Ap4.4208",NA
"evm.TU.Ap4.4209",NA
"evm.TU.Ap4.4200",NA
"evm.TU.Ap4.4201","ATP-dependent DNA helicase Q-like SIM OS=Arabidopsis thaliana GN=RECQSIM PE=2 SV=1"
"evm.TU.Ap4.4202",NA
"evm.TU.Ap4.4203",NA
"evm.TU.Ap4.4204",NA
"evm.TU.Ap4.4205",NA
"evm.TU.Ap4.4206","Zinc finger MYM-type protein 1 OS=Homo sapiens GN=ZMYM1 PE=1 SV=1"
"evm.TU.Ap4.4207",NA
"evm.TU.Ap4.1602","Retrovirus-related Pol polyprotein from transposon 297 OS=Drosophila melanogaster GN=pol PE=3 SV=1"
"evm.TU.Ap4.306",NA
"evm.TU.Ap4.307",NA
"evm.TU.Ap4.304","Uncharacterized protein K02A2.6 OS=Caenorhabditis elegans GN=K02A2.6 PE=4 SV=1"
"evm.TU.Ap4.305","Transposon Ty3-I Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TY3B-I PE=3 SV=2"
"evm.TU.Ap4.302","Fatty aldehyde dehydrogenase OS=Pongo abelii GN=ALDH3A2 PE=2 SV=1"
"evm.TU.Ap4.303","SAP30-binding protein OS=Homo sapiens GN=SAP30BP PE=1 SV=1"
"evm.TU.Ap4.300","Protein BTN1 OS=Gibberella zeae (strain PH-1 / ATCC MYA-4620 / FGSC 9075 / NRRL 31084) GN=BTN1 PE=3 SV=2"
"evm.TU.Ap4.301","Putative aldolase class 2 protein RP493 OS=Rickettsia prowazekii (strain Madrid E) GN=RP493 PE=3 SV=1"
"evm.TU.Ap4.308",NA
"evm.TU.Ap4.309",NA
"evm.TU.Ap4.6124","Baculoviral IAP repeat-containing protein 6 OS=Homo sapiens GN=BIRC6 PE=1 SV=2"
"evm.TU.Ap4.7270","E3 ubiquitin-protein ligase MYLIP OS=Homo sapiens GN=MYLIP PE=1 SV=2"
"evm.TU.Ap4.7271",NA
"evm.TU.Ap4.7272","Potassium voltage-gated channel subfamily A member 1 OS=Homo sapiens GN=KCNA1 PE=1 SV=2"
"evm.TU.Ap4.7273","Rhodopsin, GQ-coupled OS=Mizuhopecten yessoensis GN=SCOP1 PE=1 SV=1"
"evm.TU.Ap4.7274","Octopamine receptor OS=Heliothis virescens PE=2 SV=1"
"evm.TU.Ap4.7275","Protein arginine N-methyltransferase 5 OS=Homo sapiens GN=PRMT5 PE=1 SV=4"
"evm.TU.Ap4.7276","Protein preY, mitochondrial OS=Bos taurus GN=PREY PE=3 SV=1"
"evm.TU.Ap4.7277","Heart- and neural crest derivatives-expressed protein 2 OS=Danio rerio GN=hand2 PE=2 SV=1"
"evm.TU.Ap4.7278",NA
"evm.TU.Ap4.7279","Raftlin OS=Gallus gallus GN=RFTN1 PE=2 SV=3"
